Battery,Segment,Model,Slope,Intercept,Train_MSE,Test_MSE,Predicted_End_of_Life_Cycle,Remaining_Cycles
B0005,Post Spike,Linear Regression,-0.20078918448977373,101.29928053163852,0.823774322752222,4.242474950507905,500.0,399.0
B0006,Post Spike,Linear Regression,-0.20171939482378623,92.95510868218365,1.0931493789148798,0.6057613337596197,456.0,355.0
B0007,Post Spike,Linear Regression,-0.15312966760232452,99.47206660898833,0.5913848820743864,1.3342600034951666,644.0,543.0
B0018,Post Spike,Linear Regression,-0.24511688568328752,101.29415456863346,3.9904637873493534,19.034069065145957,409.0,308.0
B0025,No Spike,Linear Regression,-0.15987643601434803,100.79913992280301,0.24467744335675662,0.19008986655169854,625.0,524.0
B0026,No Spike,Linear Regression,-0.09658937887416381,100.56037104989812,0.10903300175970196,0.18344534495667664,1032.0,931.0
B0027,No Spike,Polynomial Regression,-0.04372501957363859,99.93424374899044,0.21664899829690032,0.45315148293100416,2267.0,2166.0
B0028,No Spike,Polynomial Regression,-0.14836266146135652,100.58810001617569,0.15116421060680724,0.1985243904542557,672.0,571.0
B0029,No Spike,Polynomial Regression,-0.3177811013311063,101.72176355259042,0.31231731980868366,0.19367846471782957,317.0,216.0
B0030,No Spike,Polynomial Regression,-0.31849850774029087,101.69231422014697,0.6011475254458587,0.2591893938516244,316.0,215.0
B0031,No Spike,Polynomial Regression,-0.2086041586348289,100.95141289117524,0.34049645733912,0.24946907307474941,480.0,379.0
B0032,No Spike,Linear Regression,-0.3306956263276469,101.74218530314361,0.43738569110499365,0.40620546707895566,305.0,204.0
B0033,Post Spike,Linear Regression,-0.11219533285344334,97.88291359639648,6.911069479539445,8.125528335839306,865.0,764.0
B0034,Post Spike,Linear Regression,-0.07581594970255176,92.91005392895576,5.672144790354973,5.88609418191564,1214.0,1113.0
B0036,No Spike,Linear Regression,-0.05779429229060207,95.82903759926495,0.37065270286447294,1.3607798782617355,1644.0,1543.0
B0038,No Spike,Polynomial Regression,-0.056983024165601526,97.91157587170211,0.13488003432764847,12.660625964190187,1704.0,1603.0
B0039,No Spike,Polynomial Regression,-0.1554676591754915,96.49877600136277,0.5575836455089949,102.47571947784846,615.0,514.0
B0040,Post Spike,Linear Regression,-0.02968812345639105,100.41912146086221,0.5046138179292822,1457.0866834907154,3355.0,3254.0
B0041,No Spike,Polynomial Regression,-0.8098362839178979,116.70814323312361,0.5590172003867169,17.01002634573387,143.0,42.0
B0042,Post Spike,Linear Regression,-0.3613173747340953,122.48271827711702,1.1919850039417184,0.41505137894617966,336.0,235.0
B0043,Post Spike,Linear Regression,-0.15725271865779747,98.17380023188367,3.517570290672648,30.691951515531567,619.0,518.0
B0044,Post Spike,Linear Regression,-0.2785742336444214,100.01765161275334,1.9440063696841767,13.664135224046168,356.0,255.0
B0045,Post Spike,Linear Regression,-0.2158260264274228,91.08050661626491,2.716094722125818,4.597370203591144,418.0,317.0
B0046,Post Spike,Linear Regression,-0.01795324516343916,84.44791622753905,5.427238613211954,1.859200391938307,4659.0,4558.0
B0047,Post Spike,Linear Regression,-0.01675010139599868,82.6892977321848,2.7330047677060065,0.9139704400027108,4888.0,4787.0
B0048,Post Spike,Linear Regression,0.0329341132843826,83.22033521059579,2.969576357452305,0.9175468185803646,inf,inf
B0049,Post Spike,Linear Regression,-1.0081596305701654,87.79776027372878,8.667864701263166,6.286183983969055,86.0,0.0
B0050,Post Spike,Linear Regression,-10.971465843614942,181.6721366454073,751.1771005230704,3127.3452453183722,16.0,0.0
B0051,No Spike,Linear Regression,-1.2463408283012705,89.3006741512257,7.280990548400774,3.1255280253132653,71.0,0.0
B0052,No Spike,Linear Regression,-3.4552045520559167,106.22273639586882,2.0194839173657902e-28,4.256043782960411,30.0,0.0
B0053,Post Spike,Linear Regression,-0.5702044785286792,123.05295186461663,0.3964672118226814,1.8860472109768678,214.0,113.0
B0054,Post Spike,Linear Regression,-0.05021101106698024,90.56477091369189,60.67277684429372,15.498354816638686,1787.0,1686.0
B0055,Post Spike,Linear Regression,-1.3966020217255783,219.14684429982594,15.348049359990076,52.3814119931547,156.0,55.0
B0056,Post Spike,Linear Regression,-1.1703681793316767,200.15274288349525,4.402858537268232,26.516957982163586,170.0,69.0
