Cycle Pair,Battery ID,Charge_Ah,Discharge_Ah,Initial Discharge_Ah,Charge_Wh,Discharge_Wh,Charge Duration_Sec,Discharge Duration_Sec,Average_Charge_Voltage,Average_Discharge_Voltage,Voltage Hysteresis,Ambient Temperature,Max Charge Temperature,Max Discharge Temperature,Charge_Tempaerature_Rise_Rate,Discharge_Tempaerature_Rise_Rate,Coulombic_Efficiency_Ah,Energy_Efficiency_Wh,SOH,Capacity_Fade,Cycle Status
1,B0051,1.6684197810708208,1.3475824512724253,1.3475824512724253,6.952221634516849,4.384064527531191,10801.422,2431.703,4.192444431262304,3.253238317552897,0.9392061137094072,4,8.412913811035446,17.78534976451816,0.0001465019667155819,0.005003240333077482,80.76998765907243,63.05990743685296,110.73865467878339,,Valid
2,B0051,1.4199818416224428,1.2732200976221923,1.3475824512724253,5.928899051097906,4.207254744302587,10800.906999999996,2296.515,4.1978940795792195,3.3043754856356515,0.8935185939435679,4,8.546745688736198,16.5980221417426,-0.0002115712368120604,0.004794691072904025,89.66453374977222,70.96182120900664,104.62786940238031,6.110785276403078,Valid
3,B0051,1.2980198748699863,1.2589920217970136,1.3475824512724253,5.426675782870229,4.150048270918317,10801.687,2270.64,4.200882453935714,3.2962302878910723,0.9046521660446416,4,8.627929616157157,17.944046375900108,-4.5307820904165944e-05,0.005976518178066034,96.99327769716302,76.4749625179065,103.45866600850984,1.1692033938704753,Valid
4,B0051,0.6437245662434694,2.4041432667463205,1.3475824512724253,2.672073144559456,8.024943613185187,1650.953,4346.891,4.152163603214455,3.338029530849413,0.8141340723650421,4,8.641416089934317,20.74350641722436,-0.00045641437230044865,0.0033794949102837492,373.473903718788,300.3264947864388,197.56237606326772,-94.10371005475788,Invalid : Charge Ah less than Discharge Ah
5,B0051,1.2197746942692986,1.0871389350323653,1.3475824512724253,5.111533469580484,3.491760117217525,10801.031,1959.969,4.204887661385459,3.2118830849562916,0.9930045764291671,4,8.559087298622096,19.309037376184676,-7.33092889352563e-05,0.007240734954966545,89.1262083186282,68.31140083494557,89.33650256482296,108.22587349844476,Valid
6,B0051,1.0528233470790143,1.0295410065698916,1.3475824512724253,4.412555234007165,3.3323259008139274,10799.469000000001,1854.687,4.205688409145192,3.236755835290977,0.9689325738542149,4,8.35538589126182,18.83119085444297,-8.874933442983021e-05,0.00721064343901016,97.78858052742486,75.51918840883832,84.60334719893306,4.7331553658899,Valid
7,B0051,1.0181536975809269,0.9535001362030142,1.3475824512724253,4.258829873922109,3.1126478989981985,10801.187,1717.047,4.204024493585171,3.2643667949839643,0.9396576986012071,4,8.557450859000351,17.401552170869817,-0.00017798722055270208,0.006457613202847149,93.64992127106882,73.08692742242951,78.35462848262688,6.248718716306186,Valid
8,B0051,0.9495933618464836,0.9691744938309995,1.3475824512724253,3.976706920960306,3.1329714126390353,10800.485,1745.4070000000002,4.20589454979297,3.232759503524699,0.9731350462682711,4,8.547047946085465,18.7618164798362,-5.177741507976619e-05,0.007503565748810565,102.0620544299552,78.78306032878271,79.64268122851881,-1.2880527458919317,Invalid : Charge Ah less than Discharge Ah
9,B0051,0.9596395428164208,0.9297428303579796,1.3475824512724253,4.0156636094223686,3.024618639183066,10799.687,1673.8899999999999,4.204803296176371,3.2532271873264507,0.9515761088499199,4,8.511892630110548,16.33741198864857,-0.0001571395595083184,0.005826145450519384,96.88458935625994,75.32051818499161,76.4023530685419,3.2403281599769116,Valid
10,B0051,0.919974676835111,0.8906735067891663,1.3475824512724253,3.857770544636122,2.903777359699238,10801.265000000001,1603.375,4.207081605428035,3.261564875827341,0.9455167296006945,4,8.055130839969799,16.5615867287845,-0.00013287655921532154,0.006370474160320044,96.81500254477152,75.27086761903648,73.19180047702123,3.210552591520667,Valid
11,B0051,0.90005541097031,0.8791706018093359,1.3475824512724253,3.7565231168525752,2.86389175404648,10766.704,1582.25,4.2034786244083575,3.2574525172481676,0.9460261071601899,4,11.408570719665118,17.191584562908258,-0.00047469019137462974,0.007575153765874873,97.67960851005172,76.23783123278125,72.24654015461088,0.9452603224103484,Valid
12,B0051,0.8755119466328911,0.9159987368367085,1.3475824512724253,3.6679853813104355,2.951240698914206,10709.485,1648.812,4.206652614936048,3.2218722909132396,0.9847803240228084,4,8.613611731557793,18.52236923892433,-5.9109027251915066e-05,0.007282614395503567,104.6243561106761,80.45944550247462,75.27292130361514,-3.0263811490042514,Invalid : Charge Ah less than Discharge Ah
13,B0051,0.9072281207154497,0.8734994734387983,1.3475824512724253,3.8010518884695337,2.826357494799565,10801.938000000004,1571.969,4.2065832380207695,3.236329200862472,0.9702540371582975,4,8.475944467003737,18.06272726765201,-7.852332920345513e-05,0.008024476727207623,96.28223084067847,74.35724577644683,71.78051069150008,3.4924106121150515,Valid
14,B0051,0.8774860628351305,0.8380632325293491,1.3475824512724253,3.6627117530870783,2.7274769556407383,10800.813,1507.219,4.203608033470791,3.2557846491928375,0.9478233842779531,4,12.38905931162056,17.022931192443096,-0.0006867837272914935,0.008638733217165592,95.50729840900179,74.46605519372123,68.86850954345874,2.912001148041341,Valid
15,B0051,0.8312440516189743,0.8397035298361006,1.3475824512724253,3.4879515298512613,2.7210901677723243,10675.125,1510.6409999999998,4.208284081128989,3.241581869255674,0.9667022118733146,4,8.371190025805744,16.055450979732942,-2.3692477407437868e-05,0.006420951337866333,101.01768887255798,78.01399028868849,69.00330227309942,-0.13479272964067945,Invalid : Charge Ah less than Discharge Ah
16,B0051,0.8432672530278359,0.11937711676406021,1.3475824512724253,3.5167362199047885,0.4386666075174302,10168.484,216.125,4.202647571059815,3.6689178459567517,0.5337297251030635,4,12.578151922032424,8.422696645654868,-0.0007917600423406289,0.011759816695755487,14.15649858753849,12.47368526062801,9.809909068941712,59.19339320415771,Invalid : Discharge Ah significantly lower than average
17,B0051,0.13917478945890024,0.8261666312426061,1.3475824512724253,0.5861268982994753,2.670363405950958,3522.594,1485.8439999999998,4.212144737821685,3.2331135377200777,0.9790312001016073,4,8.494855512121141,17.448152312279387,-0.0007747754407656007,0.008642850702797703,593.6180212340696,455.59475494103054,67.89089691537808,-58.080987846436365,Invalid : Charge Ah less than Discharge Ah
18,B0051,0.8206122241828895,0.8333059170401789,1.3475824512724253,3.4282798471306264,2.68567425556773,9785.953000000001,1498.5469999999998,4.204429842501048,3.2227529831177137,0.981676859383334,4,10.870668348331758,16.94512387438401,-0.0006890952937439114,0.0070231987102431165,101.54685641807602,78.33882808066454,68.47757337724805,-0.5866764618699705,Invalid : Charge Ah less than Discharge Ah
19,B0051,0.8283382957618037,0.8275771588517928,1.3475824512724253,3.4675367121141916,2.662047270574449,10283.297,1488.5310000000002,4.2062449021221235,3.2174667308533786,0.9887781712687449,4,8.393941136933458,17.545176388637014,-0.00025563151192370073,0.007404263868836809,99.9081127947476,76.77055764901685,68.00680813823583,0.47076523901222345,Valid
20,B0051,0.8231839653239443,0.816603322429372,1.3475824512724253,3.45164031855914,2.61958310121051,10799.672,1468.2189999999998,4.2078417584604075,3.209440387368357,0.9984013710920507,4,7.892322789995156,18.47494072511284,-8.90054116265648e-06,0.008583062014427994,99.20058660375112,75.89386087319882,67.10502444334097,0.9017836948948599,Valid
21,B0051,0.8164651600620465,0.7950093914741518,1.3475824512724253,3.4104064541175028,2.558831008695465,10129.219000000001,1429.281,4.204246429535898,3.2185606198351153,0.9856858097007826,4,11.39668428816517,16.8501327260127,-0.0005747525550619477,0.007247555313266765,97.37211461830604,75.03008931988441,65.33052607335279,1.77449836998818,Valid
22,B0051,0.785802979033967,0.7694058582924036,1.3475824512724253,3.277516727809037,2.4719369785251706,9460.391,1380.812,4.202905895125925,3.212842512720234,0.9900633824056908,4,12.866484418488882,17.876742267729252,-0.0007750323028428895,0.008770857368593572,97.91332927221511,75.42103317280755,63.22653546640088,2.1039906069519034,Valid
23,B0051,0.7493681730794044,0.755177134334437,1.3475824512724253,3.1301163992184384,2.426389263628432,8206.812,1354.9070000000002,4.203121816895579,3.212996184996335,0.990125631899244,4,11.810477508649903,16.26047891418261,-0.0008930057963194989,0.008151059759004048,100.7751812078116,77.51754101650275,62.05727881170551,1.1692566546953742,Invalid : Charge Ah less than Discharge Ah
24,B0051,0.7604891980072511,0.7464708233684416,1.3475824512724253,3.1745994916874345,2.396422659347831,9589.579,1339.093,4.204008867901034,3.210220954701502,0.9937879131995317,4,12.173254869352316,17.69826965271881,-0.0006628693637703933,0.008863299439117353,98.15666354294807,75.48740134378433,61.34183081616421,0.7154479955412967,Valid
